Time,M_rich,MSI,MPDI,E_rich,ESI,EPDI
65,1.909090909,0.668069774,0.744492754,2.090909091,0.597685711,0.694655155
64,1.692307692,0.835774858,0.91438066,2.230769231,0.555974249,0.702621906
63,2.181818182,0.693606704,0.812237611,2.454545455,0.502822762,0.66635183
62,2.571428571,0.452685462,0.636039761,2.571428571,0.44618087,0.614645244
61,3.416666667,0.539080685,0.778942922,3.083333333,0.469575904,0.660408545
60,3.5,0.619007348,0.847268505,2.571428571,0.622324194,0.769828551
59,4.857142857,0.397131719,0.696066421,2.571428571,0.514270889,0.663766165
58,4.583333333,0.447773236,0.711741158,2.5,0.570287913,0.715125277
57,4.857142857,0.376965399,0.689052437,2.857142857,0.553271355,0.767398622
56,5.222222222,0.391216625,0.712702296,2.833333333,0.606215272,0.8092985
55,4.411764706,0.496169973,0.80807102,2.647058824,0.784009798,0.93241333
54,5,0.489278759,0.80952431,3.125,0.717160158,0.895186681
53,4.5,0.518627281,0.795705886,3,0.756365686,0.88976297
52,4.666666667,0.465845487,0.791678499,3.133333333,0.792112919,0.92548154
51,4.166666667,0.540795672,0.821214246,3.055555556,0.75774183,0.925123263
50,4,0.501264519,0.790790774,4.125,0.583745197,0.843329941
49,4.117647059,0.519081711,0.788721191,3.941176471,0.615541207,0.857633917
48,4.176470588,0.504863476,0.756641125,4.470588235,0.543164711,0.806751164
47,4.411764706,0.513952256,0.793837431,4.588235294,0.475576423,0.764937901
46,4.571428571,0.508764263,0.822980022,4.785714286,0.460313254,0.75385581
45,4.35,0.491341474,0.812809604,3.95,0.488078722,0.775768006
44,5.058823529,0.494650426,0.81281445,4.235294118,0.483993792,0.786340737
43,5.1,0.488584504,0.824456354,4.45,0.496049658,0.794749299
42,5,0.483636587,0.838458315,4.409090909,0.521427748,0.816670707
41,4.941176471,0.490009475,0.848228179,4.529411765,0.499444573,0.809054651
40,5.681818182,0.502434035,0.847456396,4.136363636,0.512542261,0.801961611
39,5.272727273,0.502838961,0.842999112,4,0.478229157,0.743166365
38,5.5,0.533856692,0.853419177,4.05,0.461612064,0.726267828
37,5.55,0.539943047,0.872932387,4,0.358531323,0.605697627
36,4.947368421,0.598630372,0.911383744,3.684210526,0.407583211,0.618088225
35,5,0.574508227,0.884507078,3.619047619,0.428782682,0.661886644
34,4.136363636,0.709332538,0.938742093,3.5,0.471862783,0.699884831
33,2.652173913,0.663898529,0.836598311,3.304347826,0.477671525,0.708984342
32,2.208333333,0.693736002,0.831719477,3.25,0.498160888,0.724616044
31,2.05,0.620643548,0.729602053,3.5,0.476983554,0.714982686
30,2,0.670367821,0.798470878,3.523809524,0.443597978,0.672152497
29,1.80952381,0.731775554,0.84139243,3.523809524,0.440018854,0.656796029
28,1.857142857,0.774496045,0.885556255,3.857142857,0.382293401,0.628225682
27,1.842105263,0.73106506,0.8586621,3.789473684,0.46364844,0.71617872
26,2.1,0.751184243,0.890297552,3.45,0.475299598,0.713524568
25,2.238095238,0.692661331,0.829462719,3.571428571,0.452562615,0.695865822
24,2.6,0.694783916,0.881963442,3.7,0.468605266,0.731028382
23,2.857142857,0.656962828,0.846458483,3.428571429,0.471028064,0.701856969
22,2.714285714,0.650066847,0.856023802,3.19047619,0.493708387,0.707106445
21,2.714285714,0.604656743,0.815532742,3.238095238,0.509144499,0.738062671
20,2.944444444,0.587475185,0.79715109,3.333333333,0.502577711,0.732496015
19,3.04,0.585736895,0.796822287,3.36,0.482690326,0.692609137
18,3.913043478,0.58025026,0.842633425,3.47826087,0.467113874,0.676743204
17,4.863636364,0.459436611,0.770405924,3.727272727,0.471468059,0.716550708
16,6.130434783,0.404516768,0.768265244,3.782608696,0.47478803,0.735210014
15,6.125,0.398079175,0.769854436,3.666666667,0.491838165,0.718356925
14,6.173913043,0.435699396,0.800111992,3.782608696,0.521065252,0.756019882
13,6.291666667,0.415261139,0.798061101,4.083333333,0.463377582,0.71389885
12,6.222222222,0.469585405,0.846664684,4.148148148,0.450249685,0.710014031
11,5.88,0.443065525,0.82107068,4.4,0.422168838,0.681767458
10,5.777777778,0.475839362,0.828126048,4.296296296,0.417570812,0.662553199
9,6.153846154,0.438809916,0.810960011,4.346153846,0.392166158,0.628395344
8,6.956521739,0.406038259,0.787586378,4.652173913,0.370715856,0.630960825
7,6.48,0.421711504,0.783574158,4.6,0.366011711,0.622519764
6,7.708333333,0.373986896,0.754847207,4.833333333,0.333988559,0.581980745
5,8.36,0.411069934,0.782021235,4.6,0.365765271,0.599857863
4,7.448275862,0.450739223,0.805884371,4.379310345,0.397587951,0.612045037
3,6.866666667,0.441591263,0.757573814,4.233333333,0.417227164,0.650562277
2,7,0.457214397,0.805874242,4.34375,0.413030768,0.654097772
1,7.28125,0.462098536,0.803989269,4.4375,0.436922206,0.671481947
0,7.5,0.450899289,0.798081803,4.40625,0.419729478,0.643670888
