ESI_62to56,ESI_55to50,ESI_49to44,EPDI_62to56,EPDI_55to50,ESI_49to44
0,0.329035656,0.205532886,0,,
0.19245009,0.33015148,0.22027417,0.333333333,,
0.230940108,0.368781778,0.28782473,0.333333333,,
0.23660748,0.379751805,0.294056806,0.333333333,,
0.25,0.405261905,0.301040373,0.375,,
0.254587539,0.411886644,0.31007226,0.416666667,,
0.277350098,0.419172346,0.316227766,0.428571429,,
0.291226069,0.428984589,0.316878145,0.456521739,,
0.310803217,0.432176885,0.322030594,0.473684211,,
0.319262235,0.437091717,0.324538817,0.5,,
0.333333333,0.446299981,0.329792983,0.5,,
0.333333333,0.447213595,0.330718914,0.5,,
0.355390044,0.459804038,0.338427942,0.5,,
0.364775581,0.470015029,0.341183602,0.55,,
0.371295142,0.48016201,0.348396499,0.5625,,
0.380614904,0.481045693,0.354647921,0.583333333,,
0.388710345,0.5,0.357716973,0.595238095,,
0.39086798,0.520576603,0.36255821,0.604166667,,
0.393487417,0.539901457,0.365940502,0.609756098,,
0.4,0.543397288,0.366158466,0.611111111,,
0.406650444,0.544862368,0.368644268,0.625,,
0.40824829,0.549582402,0.368781778,0.625,,
0.413067791,0.55744399,0.370809924,0.625,,
0.4163332,0.612372436,0.375154289,0.633333333,,
0.421457716,0.62058357,0.380287671,0.643678161,,
0.423158789,0.622839659,0.385265507,0.666666667,,
0.430331483,0.627288709,0.391640005,0.666666667,,
0.454256763,0.631853011,0.392308871,0.666666667,,
0.454464708,0.632455532,0.398238308,0.666666667,,
0.457853284,0.660945503,0.398311859,0.666666667,,
0.460329354,0.667359438,0.404621824,0.666666667,,
0.474414642,0.667947488,0.409080602,0.666666667,,
0.476095229,0.670059394,0.409080602,0.666666667,,
0.488647706,0.673347198,0.418330013,0.666666667,,
0.490653381,0.674359515,0.418330013,0.666666667,,
0.5,0.677299692,0.419435246,0.666666667,,
0.5,0.679135104,0.419918279,0.666666667,,
0.5,0.683130051,0.420155462,0.666666667,,
0.5,0.683807424,0.420155462,0.666666667,,
0.503322296,0.689051699,0.424124577,0.678082192,,
0.503322296,0.697683419,0.425406097,0.682692308,,
0.512102061,0.709195727,0.428174419,0.692307692,,
0.512179086,0.70925921,0.429839394,0.694444444,,
0.512686671,0.715425971,0.433795009,0.701754386,,
0.515078754,0.715891053,0.43631546,0.714285714,,
0.517194076,0.717361825,0.43852901,0.722222222,,
0.517409197,0.731295483,0.438778072,0.722222222,,
0.518005361,0.73414229,0.441333785,0.723404255,,
0.5204165,0.740783592,0.445904994,0.725,,
0.52360456,0.75288039,0.447213595,0.75,,
0.524207391,0.762397534,0.449057783,0.75,,
0.529150262,0.774596669,0.460977223,0.75,,
0.529150262,0.77588659,0.461760913,0.75,,
0.529433542,0.78173596,0.46260134,0.75,,
0.531034762,0.783908459,0.467707173,0.75,,
0.536449231,0.787915787,0.475863721,0.761904762,,
0.540863507,0.792824967,0.475863721,0.762295082,,
0.547246897,0.796619154,0.479196859,0.766666667,,
0.577350269,0.800217842,0.481663783,0.771929825,,
0.577350269,0.806330269,0.481663783,0.777777778,,
0.577350269,0.817061826,0.481663783,0.777777778,,
0.577350269,0.817973769,0.495279214,0.777777778,,
0.577350269,0.822994565,0.5,0.778656126,,
0.577350269,0.829200799,0.503322296,0.784946237,,
0.577350269,0.829200799,0.516397779,0.787878788,,
0.577350269,0.843349449,0.518091656,0.788888889,,
0.577880192,0.852386356,0.518779966,0.791666667,,
0.578440639,0.852386356,0.528223824,0.794871795,,
0.582102203,0.852386356,0.537788956,0.795698925,,
0.589015089,0.860718134,0.550161564,0.796296296,,
0.599831945,0.862230455,0.55062089,0.8,,
0.610062276,0.870515785,0.560951572,0.822222222,,
0.612284046,0.883984595,0.570177938,0.833333333,,
0.61276905,0.887466989,0.572712843,0.833333333,,
0.622699849,0.891375439,0.572712843,0.833333333,,
0.625,0.898803289,0.57653145,0.833333333,,
0.638284739,0.918936583,0.591607978,0.845771144,,
0.638284739,0.954377683,0.592469753,0.851765619,,
0.641248782,0.964682458,0.632455532,0.87037037,,
0.649220766,1,0.639824195,0.875,,
0.703611422,1,0.654312616,0.875,,
0.707106781,1,0.679135104,0.888888889,,
0.707106781,1,0.683130051,0.888888889,,
0.711458249,1,0.683130051,0.9,,
0.721110255,1,0.683130051,0.904761905,,
0.728773704,1,0.683130051,0.907801418,,
0.739304769,1,0.691564075,0.913043478,,
0.793492048,1,0.718085133,0.916666667,,
0.795394909,1,0.728945092,0.933333333,,
0.906064226,1,0.740613574,0.968169761,,
0.911699007,1,0.740722426,0.974358974,,
1,1,0.741619849,1,,
1,1,0.745355992,1,,
1,1,0.745355992,1,,
1,1,0.840310924,1,,
1,1,1,1,,
1,,1,1,,
1,,1,1,,
,,1,,,
,,1,,,
,,1,,,
,,1,,,
