MSI_south,MSI_north,Mrich_south,Mrich_north
0.702972329,0.398143841,5,1
0.920020422,0.41934328,2,1
0.868186937,0.437885633,2,1
0.756378681,0.457848156,3,1
0.913186747,0.459737937,2,1
1,0.466662016,1,1
0.942896206,0.478173753,2,1
0.948745965,0.493544359,2,1
0.860712755,0.5,2,1
0.813011908,0.500586482,2,1
0.807946643,0.500611871,2,1
0.775012337,0.502073264,4,1
0.727131164,0.502588456,5,1
0.764176562,0.503322296,4,1
1,0.50417829,1,2
0.896551724,0.506160397,3,2
0.744202259,0.50619742,3,2
0.901639344,0.507444578,3,2
0.887119018,0.507972131,3,2
0.881180561,0.511766316,2,2
0.929326332,0.513160144,2,2
1,0.515078754,1,2
0.933900137,0.515078754,2,2
0.860209598,0.515078754,3,2
0.856341749,0.515422858,4,2
0.843947466,0.515964847,3,2
0.836846566,0.516198514,2,2
0.872819996,0.516282636,2,2
0.854400375,0.522474435,2,2
1,0.523768605,1,2
1,0.526173909,1,2
1,0.526255418,1,2
1,0.528120786,1,2
0.94498895,0.531135235,2,2
0.950789146,0.531669177,2,2
0.861080084,0.531923957,3,2
0.947385488,0.533203705,4,2
0.905167801,0.534095397,3,2
0.923235872,0.53748385,2,2
0.790710492,0.539313198,2,2
1,0.542025819,1,2
1,0.550991548,1,2
1,0.552978412,1,2
1,0.553719679,1,2
1,0.554143403,1,2
1,0.559099806,1,2
0.666666667,0.560860642,2,2
,0.561140707,,2
,0.564995289,,2
,0.565705885,,2
,0.566156633,,2
,0.567156651,,2
,0.570297222,,2
,0.573645205,,2
,0.577350269,,2
,0.577350269,,2
,0.577350269,,2
,0.577350269,,2
,0.577350269,,2
,0.577350269,,2
,0.577350269,,2
,0.577350269,,2
,0.579344577,,2
,0.579601156,,2
,0.583333333,,2
,0.583496099,,2
,0.586157491,,2
,0.586884045,,2
,0.589236795,,2
,0.590788008,,2
,0.590909091,,2
,0.591112501,,2
,0.591187123,,2
,0.593127772,,2
,0.593127772,,2
,0.596509817,,2
,0.596846842,,2
,0.597301787,,2
,0.599586634,,2
,0.600282976,,2
,0.600788437,,2
,0.601456565,,2
,0.60155697,,2
,0.603653335,,2
,0.605991359,,2
,0.606169466,,2
,0.608276253,,2
,0.609686909,,2
,0.610134494,,2
,0.6109543,,2
,0.611350963,,2
,0.612372436,,2
,0.612794035,,2
,0.613167351,,2
,0.615581925,,2
,0.61731966,,2
,0.617462811,,2
,0.620029149,,2
,0.620209304,,2
,0.620370288,,2
,0.622699849,,2
,0.622699849,,2
,0.626093969,,2
,0.627906977,,2
,0.628557926,,2
,0.630240689,,2
,0.630989816,,2
,0.634305723,,2
,0.635245948,,2
,0.635831741,,2
,0.636363636,,2
,0.638284739,,2
,0.638284739,,2
,0.640748894,,2
,0.642342047,,2
,0.64495358,,2
,0.649915575,,2
,0.651016678,,2
,0.651051697,,2
,0.651375935,,2
,0.652133654,,2
,0.652217697,,2
,0.656924705,,2
,0.657246369,,2
,0.65872549,,2
,0.658807846,,2
,0.661437828,,2
,0.661437828,,2
,0.661437828,,2
,0.661437828,,2
,0.662266179,,2
,0.662509714,,2
,0.664328947,,2
,0.667256438,,2
,0.668106864,,3
,0.674763455,,3
,0.675116518,,3
,0.675116518,,3
,0.678923781,,3
,0.680413817,,3
,0.683189142,,3
,0.683707263,,3
,0.683707263,,3
,0.683707263,,3
,0.687168078,,3
,0.689109422,,3
,0.689452803,,3
,0.69175033,,3
,0.691834356,,3
,0.69363839,,3
,0.693674688,,3
,0.693888666,,3
,0.703611422,,3
,0.704982269,,3
,0.707106781,,3
,0.707106781,,3
,0.707106781,,3
,0.707176913,,3
,0.707908036,,3
,0.710780088,,3
,0.710780088,,3
,0.711458249,,3
,0.714736403,,3
,0.719726017,,3
,0.721110255,,3
,0.721110255,,3
,0.72434232,,3
,0.728868987,,3
,0.729164207,,3
,0.740541941,,3
,0.742307489,,3
,0.746458304,,3
,0.75359222,,3
,0.754319634,,3
,0.767341712,,3
,0.775411734,,3
,0.782596159,,3
,0.791107035,,3
,0.793492048,,3
,0.793492048,,3
,0.795394909,,3
,0.804173001,,3
,0.831387744,,3
,0.831479419,,3
,0.838870493,,3
,0.841625412,,3
,0.863201707,,3
,0.867217456,,3
,0.883471144,,3
,0.894997435,,3
,0.923859094,,3
,1,,3
,1,,3
,1,,4
,1,,4
,1,,4
,1,,4
,1,,5
,1,,5
,1,,5
,1,,6
,1,,6
,1,,6
,1,,8
,1,,8
,1,,1
